"country","decimalLatitude","decimalLongitude","Site","yearCollected","monthCollected","dayCollected","date","date_t1","date_t2","genus","species","scientific","susceptibility","BdDetected","BsalDetected","fatal","sppAbun","siteAbun","richness","alphadiv","soilMoisture_date","soilMoisture_date_t1","soilMoisture_date_t2","temp_date","temp_date_t1","temp_date_t2"
"Switzerland",46.159648,9.002659,48,2015,12,26,2015-12-26,2015-11-26,2015-10-27,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",3,3,1,1.09861228866811,5.45839309692383,5.85573244094849,6.47064304351807,2.61553344726605,-0.668005371093955,7.05007324218803
"Switzerland",46.159648,9.002659,48,2013,12,19,2013-12-19,2013-11-19,2013-10-20,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",34,34,1,3.52636052461616,6.05050611495972,6.90167808532715,6.33884954452515,-0.170935058593955,3.859460449219,8.10305175781201
"Switzerland",45.927315,9.028099,47,2015,5,9,2015-05-09,2015-04-09,2015-03-10,"Triturus","carnifex","Triturus carnifex",1,"0","0","0",8,8,1,2.07944154167984,7.89554452896118,7.8713755607605,8.19444465637207,15.698999023438,9.32045898437502,6.12911376953105
"Switzerland",46.159648,9.002659,48,2015,12,20,2015-12-20,2015-11-20,2015-10-21,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",6,6,1,1.79175946922805,5.51368045806885,6.22335958480835,6.74937677383423,3.421472167969,5.15639648437502,4.21123657226605
"Switzerland",46.174407,8.741555,49,2015,5,12,2015-05-12,2015-04-12,2015-03-13,"Triturus","carnifex","Triturus carnifex",1,"0","0","0",8,8,1,2.07944154167984,5.39824724197388,5.27419567108154,5.51032638549805,15.733178710938,9.90947875976605,4.38805541992201
"Switzerland",46.159648,9.002659,48,2014,3,11,2014-03-11,2014-02-09,2014-01-10,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",24,24,1,3.17805383034795,7.12091016769409,6.83142280578613,6.81324911117554,2.958581542969,-1.94632568359395,-1.07401123046895
"Switzerland",46.159648,9.002659,48,2013,12,23,2013-12-23,2013-11-23,2013-10-24,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",70,70,1,4.24849524204936,6.27289724349976,6.68470001220703,6.91781902313232,1.29976806640605,-3.256842041016,10.151818847656
"Switzerland",46.159648,9.002659,48,2013,12,28,2013-12-28,2013-11-28,2013-10-29,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",30,30,1,3.40119738166216,7.02712535858154,6.50319290161133,7.18671798706055,-0.635290527343955,-3.91867675781197,9.154534912109
"Switzerland",46.159648,9.002659,48,2015,12,22,2015-12-22,2015-11-22,2015-10-23,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",12,12,1,2.484906649788,5.50300264358521,5.93786907196045,6.64840459823608,3.43410644531201,-1.11481323242197,7.87713012695303
"Switzerland",46.159648,9.002659,48,2016,1,2,2016-01-02,2015-12-03,2015-11-03,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",90,90,1,4.49980967033027,5.4151291847229,5.70854139328003,6.4703540802002,-0.179418945311966,3.328698730469,6.41619262695303
