Count,Genus,Species,Location,Lat,Lon,Day,Month,Year,Date,Code,Bsal,Bd,RV,Fate,Notes
1,Triturus,marmoratus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0227,0,0,0,Removed,
1,Triturus,marmoratus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0228,0,0,0,Removed,
1,Triturus,marmoratus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0229,0,0,0,Removed,
1,Triturus,marmoratus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0230,0,0,0,Removed,
1,Triturus,marmoratus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0233,0,0,0,Removed,
1,Triturus,marmoratus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0234,0,0,0,Removed,
1,Triturus,marmoratus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0235,0,0,0,Removed,
1,Triturus,marmoratus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0236,0,0,0,Removed,
1,Triturus,marmoratus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0237,0,0,0,Removed,
1,Triturus,marmoratus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0239,0,0,0,Removed,
1,Triturus,marmoratus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0246,0,0,0,Removed,
1,Triturus,marmoratus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0247,0,0,0,Removed,
1,Pelophylax,sp.,Inner perimeter,41.665035,2.530639,30,7,2018,7/30/2018,CM0001,0,0,0,Returned,
1,Pelophylax,sp.,Inner perimeter,41.665035,2.530639,30,7,2018,7/30/2018,CM0095,0,0,0,Returned,
0,,,Inner perimeter,41.665035,2.530639,2,8,2018,8/2/2018,,,,,,
0,,,Inner perimeter,41.665035,2.530639,5,8,2018,8/5/2018,,,,,,
1,Pelophylax,sp.,Inner perimeter,41.665035,2.530639,8,8,2018,8/8/2018,DF0349,0,0,0,Removed,
