"L1","Lon","Lat","GID_2","GID_0","COUNTRY","GID_1","NAME_1","NL_NAME_1","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2"
80,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
81,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
82,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
83,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
84,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
85,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
86,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
87,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
88,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
89,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
90,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
91,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
92,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
93,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
94,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
95,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
96,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
97,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
98,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
99,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
100,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
101,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
102,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
103,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
104,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
105,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
106,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
107,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
108,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
109,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
110,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
111,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
112,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
113,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
114,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
115,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
116,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
117,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
118,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
119,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
120,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
121,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
122,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
123,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
124,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
125,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
126,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
127,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
128,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
129,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
130,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
